,id,count
p,0,45257941.0
P,1,13037452.0
y,2,19208332.0
Y,3,1927632.0
f,4,34397098.0
F,5,9744048.0
g,6,28743149.0
G,7,7146650.0
c,8,60870740.0
C,9,19440900.0
r,10,102636225.0
R,11,15658858.0
l,12,64400030.0
L,13,12698426.0
a,14,101242298.0
A,15,16178883.0
o,16,94908923.0
O,17,13157215.0
e,18,181606646.0
E,19,20268358.0
u,20,48117512.0
U,21,6808563.0
i,22,102783353.0
I,23,17229460.0
d,24,57056208.0
D,25,12518760.0
h,26,28882315.0
H,27,5393798.0
t,28,145710879.0
T,29,21645803.0
n,30,101284741.0
N,31,12113181.0
s,32,94484661.0
S,33,21708792.0
q,34,2556306.0
Q,35,1996965.0
j,36,2930302.0
J,37,864223.0
k,38,12236768.0
K,39,2881696.0
x,40,17250883.0
X,41,2691211.0
b,42,21461827.0
B,43,8218464.0
m,44,38549651.0
M,45,9950670.0
w,46,11566884.0
W,47,3852143.0
v,48,16852127.0
V,49,5892965.0
z,50,4773802.0
Z,51,699912.0
$,52,130036.0
&,53,5805542.0
[,54,4319953.0
{,55,10223791.0
},56,10217432.0
(,57,43074480.0
=,58,21015563.0
*,59,17263665.0
),60,43086032.0
+,61,3904111.0
],62,4306143.0
!,63,2340811.0
#,64,3158925.0
~,65,219630.0
%,66,1191282.0
7,67,3507641.0
5,68,4718279.0
3,69,6913742.0
1,70,12650153.0
9,71,3506090.0
0,72,22089566.0
2,73,10637229.0
4,74,5979325.0
6,75,5261349.0
8,76,4644089.0
`,77,196651.0
;,78,29633157.0
",",79,33677880.0
.,80,21606097.0
/,81,24986478.0
@,82,438797.0
\,83,2425187.0
:,84,30272544.0
<,85,9197542.0
>,86,12282011.0
?,87,413229.0
^,88,82760.0
|,89,1633398.0
-,90,26792443.0
',91,1791722.0
_,92,53996114.0
"""",93,16547546.0
	,94,19260294.0
"
",95,84055824.0
 ,96,550699958.0
