,p,P,y,Y,f,F,g,G,c,C,r,R,l,L,a,A,o,O,e,E,u,U,i,I,d,D,h,H,t,T,n,N,s,S,q,Q,j,J,k,K,x,X,b,B,m,M,w,W,v,V,z,Z,$,&,[,{,},(,=,*,),+,],!,#,~,%,7,5,3,1,9,0,2,4,6,8,`,;,",",.,/,@,\,:,<,>,?,^,|,-,',_,"""",	,"
", 
p,1878843.0,165059.0,907731.0,4810.0,114924.0,105920.0,48275.0,56708.0,470513.0,273534.0,3701808.0,148962.0,3052938.0,112176.0,4465821.0,141658.0,3139535.0,95966.0,8253026.0,116503.0,2747386.0,35318.0,1178851.0,200325.0,504536.0,145596.0,767126.0,48150.0,3961656.0,214284.0,144925.0,106323.0,831768.0,264742.0,14495.0,11005.0,3087.0,6007.0,50887.0,32723.0,41502.0,8607.0,144213.0,114839.0,77217.0,164013.0,109510.0,55401.0,100823.0,80195.0,9882.0,3740.0,272.0,15403.0,116881.0,4335.0,4601.0,611682.0,13139.0,23648.0,369338.0,23381.0,21344.0,1797.0,1233.0,17.0,656.0,3845.0,4792.0,37079.0,116769.0,4077.0,29226.0,106566.0,15785.0,11203.0,6835.0,2690.0,147107.0,313253.0,426965.0,40034.0,373.0,8388.0,383418.0,121269.0,163541.0,1512.0,283.0,902.0,260077.0,7911.0,1088510.0,202851.0,2878.0,97603.0,1010567.0
P,19760.0,301141.0,348839.0,110711.0,3839.0,56468.0,6962.0,23320.0,10976.0,307135.0,1762099.0,492847.0,337262.0,316249.0,1922075.0,407331.0,1134895.0,309438.0,277032.0,1060723.0,268109.0,268694.0,284635.0,326803.0,11047.0,89603.0,118347.0,75662.0,359518.0,292949.0,9907.0,34999.0,27068.0,143213.0,955.0,7609.0,867.0,2491.0,6932.0,18348.0,15566.0,16349.0,4849.0,33640.0,4602.0,38154.0,5207.0,18512.0,20504.0,39327.0,571.0,1424.0,55.0,1953.0,6894.0,238.0,747.0,123939.0,1274.0,2020.0,42485.0,1170.0,5124.0,174.0,144.0,3.0,217.0,8110.0,5673.0,23478.0,38711.0,11617.0,9457.0,54607.0,14635.0,18655.0,9329.0,158.0,16108.0,40744.0,27438.0,9108.0,54.0,852.0,29804.0,2475.0,6426.0,162.0,103.0,524.0,13132.0,2840.0,577426.0,10697.0,651.0,43687.0,118581.0
y,4170845.0,170448.0,83426.0,2281.0,59409.0,122471.0,32622.0,33067.0,84160.0,196595.0,215500.0,126012.0,274718.0,90031.0,97826.0,121573.0,369883.0,179638.0,483482.0,172998.0,12592.0,50637.0,120634.0,199278.0,69601.0,107866.0,5984.0,45762.0,563343.0,187207.0,510135.0,79267.0,928163.0,217179.0,1309.0,9333.0,1150.0,4243.0,3557.0,16905.0,318909.0,3956.0,111157.0,96437.0,342237.0,139189.0,40981.0,38322.0,37417.0,81842.0,36181.0,4569.0,255.0,36658.0,63418.0,7463.0,6912.0,1026059.0,17137.0,52888.0,444792.0,14892.0,26007.0,4639.0,463.0,12.0,606.0,1274.0,3037.0,13605.0,50202.0,1267.0,19135.0,45337.0,5747.0,2288.0,2171.0,5725.0,163732.0,456766.0,442757.0,60428.0,1539.0,19656.0,313260.0,77462.0,108964.0,3783.0,740.0,1658.0,175652.0,13043.0,991823.0,133411.0,1976.0,206356.0,2710961.0
Y,1038.0,276160.0,747.0,23264.0,482.0,9409.0,321.0,16790.0,1897.0,19706.0,860.0,45136.0,687.0,28223.0,13925.0,16756.0,64921.0,20774.0,20320.0,37961.0,11735.0,9858.0,19025.0,23740.0,4154.0,7146.0,1155.0,2321.0,862.0,88408.0,612.0,35752.0,1447.0,78502.0,493.0,1591.0,281.0,681.0,396.0,1655.0,336.0,19655.0,1264.0,17186.0,1830.0,27549.0,639.0,4783.0,431.0,3251.0,290.0,10312.0,50.0,322.0,4429.0,179.0,1743.0,78673.0,1246.0,2365.0,57829.0,1537.0,10754.0,337.0,176.0,2.0,180.0,298.0,376.0,1718.0,4640.0,1324.0,2488.0,4821.0,1159.0,405.0,1064.0,96.0,33813.0,104892.0,5448.0,1191.0,72.0,1188.0,15475.0,725.0,2642.0,80.0,54.0,1307.0,5554.0,2227.0,312651.0,11642.0,994.0,22161.0,250584.0
f,155458.0,74991.0,261506.0,6949.0,2859611.0,50024.0,72882.0,19272.0,124347.0,95487.0,1161049.0,64477.0,1239065.0,60939.0,2432366.0,48981.0,4325455.0,39919.0,1883489.0,45557.0,799817.0,23795.0,4194191.0,66776.0,298523.0,59505.0,13046.0,47389.0,733371.0,72315.0,192884.0,52805.0,856460.0,102565.0,4146.0,5689.0,1968.0,2909.0,6133.0,7375.0,107567.0,8745.0,78648.0,33898.0,83948.0,56550.0,39093.0,25322.0,30967.0,35222.0,2723.0,2862.0,10984.0,13491.0,51564.0,3236.0,16717.0,1415419.0,10400.0,13573.0,283703.0,4449.0,10447.0,510.0,184.0,36.0,1961.0,37061.0,30909.0,91691.0,71507.0,33816.0,68035.0,55823.0,36726.0,43047.0,82351.0,837.0,123778.0,754145.0,154743.0,18205.0,326.0,18099.0,137418.0,47658.0,20407.0,582.0,263.0,510.0,106239.0,10401.0,480785.0,62233.0,3813.0,367671.0,6631038.0
F,11599.0,83002.0,597.0,54369.0,2959.0,383560.0,1735.0,24676.0,5396.0,95065.0,745280.0,121202.0,581561.0,206786.0,431026.0,396448.0,876298.0,373044.0,239744.0,198531.0,505113.0,105644.0,1381542.0,420379.0,13415.0,86835.0,32414.0,7555.0,6842.0,150893.0,47643.0,40050.0,11285.0,96650.0,1875.0,2700.0,666.0,1911.0,681.0,4294.0,7389.0,58272.0,4657.0,62372.0,14058.0,46757.0,7057.0,38296.0,3086.0,13276.0,615.0,894.0,51.0,2988.0,2285.0,105.0,2017.0,199250.0,1182.0,2989.0,56527.0,540.0,3860.0,143.0,134.0,0.0,303.0,31450.0,38788.0,57265.0,63771.0,35480.0,53335.0,43883.0,39913.0,47382.0,60255.0,183.0,19638.0,286741.0,33030.0,2013.0,54.0,6015.0,27768.0,1331.0,7310.0,178.0,173.0,226.0,18537.0,4123.0,310316.0,13780.0,308.0,31032.0,229387.0
g,151838.0,189597.0,71702.0,2639.0,69544.0,99640.0,321249.0,17499.0,131842.0,139473.0,1095910.0,111206.0,825513.0,104931.0,505898.0,99290.0,585828.0,81884.0,7418844.0,96751.0,570456.0,39037.0,1775577.0,136907.0,32116.0,95052.0,1333617.0,31862.0,499784.0,166810.0,1379301.0,77266.0,1276781.0,179470.0,2455.0,6273.0,2667.0,4239.0,3930.0,15134.0,8449.0,4165.0,55432.0,76872.0,317314.0,99977.0,11844.0,33276.0,90430.0,63876.0,5222.0,5365.0,316.0,165081.0,43197.0,8232.0,3796.0,1074797.0,18539.0,30758.0,378975.0,5899.0,13175.0,3255.0,500.0,37.0,547.0,2174.0,4136.0,21143.0,77352.0,1699.0,23197.0,58706.0,10097.0,5599.0,4355.0,1266.0,111625.0,421650.0,510419.0,128651.0,1450.0,15126.0,417221.0,24046.0,184868.0,2762.0,2121.0,975.0,154211.0,7656.0,1047057.0,115765.0,3246.0,150917.0,2964483.0
G,28508.0,131632.0,2738.0,8067.0,11426.0,54010.0,849.0,33815.0,8250.0,105078.0,444261.0,152591.0,150890.0,408716.0,131845.0,76518.0,69476.0,84942.0,2250933.0,455185.0,268730.0,128188.0,23200.0,171168.0,3289.0,54328.0,3365.0,101830.0,9237.0,110296.0,4011.0,160110.0,7666.0,116112.0,698.0,1977.0,657.0,2117.0,561.0,3176.0,1365.0,4965.0,1337.0,81434.0,7529.0,57011.0,1080.0,10396.0,619.0,20355.0,852.0,2050.0,45.0,1129.0,2742.0,70.0,1032.0,169455.0,761.0,2057.0,64412.0,566.0,2930.0,856.0,91.0,5.0,205.0,818.0,1677.0,10939.0,18940.0,994.0,3020.0,18639.0,10882.0,2129.0,8953.0,105.0,18220.0,77458.0,51369.0,1069.0,39.0,2412.0,29789.0,401.0,3511.0,158.0,97.0,424.0,6652.0,2692.0,460638.0,10696.0,2028.0,44130.0,141961.0
c,460894.0,75948.0,314286.0,3281.0,104405.0,55022.0,26999.0,19735.0,953574.0,140015.0,1790722.0,65614.0,3749158.0,38722.0,5634018.0,63151.0,11783779.0,52010.0,7123983.0,45657.0,1507643.0,17587.0,966806.0,84121.0,114787.0,53948.0,4907574.0,25981.0,8176771.0,113801.0,83678.0,30083.0,525119.0,139392.0,29591.0,4496.0,8073.0,13190.0,4826615.0,18064.0,64828.0,5261.0,148037.0,71665.0,293295.0,65500.0,13771.0,24900.0,172358.0,36673.0,5470.0,2346.0,609.0,9676.0,62525.0,4825.0,5334.0,323441.0,14167.0,17136.0,372855.0,25143.0,21971.0,1018.0,744.0,22.0,1775.0,29653.0,29976.0,101422.0,98738.0,30362.0,78798.0,143095.0,75485.0,39475.0,34372.0,1672.0,99268.0,448217.0,321106.0,99663.0,310.0,9614.0,298748.0,29568.0,22070.0,662.0,270.0,1630.0,149002.0,13353.0,1335970.0,62838.0,2144.0,49572.0,1350010.0
C,150355.0,315111.0,28019.0,47044.0,10506.0,121196.0,2518.0,62700.0,10041.0,333281.0,554728.0,272241.0,865018.0,352076.0,1219342.0,641154.0,4754403.0,941363.0,142301.0,680155.0,405218.0,194129.0,42895.0,178271.0,10983.0,133433.0,1097899.0,909729.0,84368.0,1178646.0,20538.0,71778.0,21704.0,278389.0,1326.0,10186.0,532.0,7770.0,1370.0,820143.0,6831.0,51002.0,17079.0,197691.0,107907.0,146066.0,1872.0,99548.0,14099.0,95162.0,1203.0,7096.0,93.0,2216.0,6356.0,2983.0,1776.0,86400.0,2427.0,4409.0,88404.0,25692.0,4828.0,239.0,561.0,8.0,824.0,39764.0,43509.0,60964.0,68150.0,41099.0,55098.0,61675.0,50438.0,47993.0,41904.0,168.0,20034.0,91240.0,48427.0,5271.0,307.0,5302.0,47528.0,1860.0,7904.0,145.0,99.0,257.0,25303.0,7155.0,441555.0,47859.0,583.0,47075.0,186597.0
